model,model_family,pr_auc,roc_auc,precision_at_pos_k,recall_at_pos_k,precision_at_prior_rate,recall_at_prior_rate,f2_at_prior_rate
hist_gradient_boosting_lightgbm_proxy,supervised_silver_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_balanced,supervised_silver_label,0.9997629208155524,0.9999853353081785,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
logistic_balanced,supervised_silver_label,0.9977477477477477,0.9998435766205707,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819
pu_style_weighted_logistic,supervised_silver_label,0.9977384467435775,0.9998435766205707,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819
tuned_gradient_boosting,supervised_silver_label,0.9930656797876715,0.9990883449917632,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
tuned_rbf_svc,supervised_silver_label,0.9930301331372469,0.9995405063229263,0.9369369369369369,0.9369369369369369,0.9369369369369369,0.9369369369369369,0.9369369369369369
rbf_svc_calibrated,supervised_silver_label,0.9919197297826646,0.9994574064026044,0.9369369369369369,0.9369369369369369,0.9369369369369369,0.9369369369369369,0.9369369369369369
gradient_boosting,supervised_silver_label,0.9918126836779261,0.9963924858119106,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
decision_tree_depth3,supervised_silver_label,0.9915027617177053,0.9954954954954955,0.990990990990991,0.990990990990991,0.05680655066530194,1.0,0.23144286905754796
linear_svc_calibrated,supervised_silver_label,0.9885701709371538,0.9989881362643164,0.954954954954955,0.954954954954955,0.954954954954955,0.954954954954955,0.954954954954955
gaussian_nb,supervised_silver_label,0.9462659317398032,0.9917364461585839,0.9279279279279279,0.9279279279279279,0.9279279279279279,0.9279279279279279,0.9279279279279279
mlp_neural_network,supervised_silver_label,0.9300827058966257,0.9523104221964775,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919
tuned_mlp,supervised_silver_label,0.9240248381106246,0.9889917046726596,0.8198198198198198,0.8198198198198198,0.8198198198198198,0.8198198198198198,0.8198198198198198
pca_reconstruction_2,unsupervised_or_autoencoder_proxy,0.9093589024889129,0.9958596686757295,0.8558558558558559,0.8558558558558559,0.8558558558558559,0.8558558558558559,0.8558558558558559
pca_reconstruction_3,unsupervised_or_autoencoder_proxy,0.8770374033104136,0.9946229463321162,0.8288288288288288,0.8288288288288288,0.8288288288288288,0.8288288288288288,0.8288288288288288
lof_normal_fit,unsupervised_or_autoencoder_proxy,0.8069534366017697,0.9803639776510096,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7567567567567568
pca_reconstruction_5,unsupervised_or_autoencoder_proxy,0.8021881625068441,0.9899986801777361,0.7927927927927928,0.7927927927927928,0.7927927927927928,0.7927927927927928,0.7927927927927928
one_class_svm_normal_fit,unsupervised_or_autoencoder_proxy,0.7528284083561391,0.985785025394358,0.6936936936936937,0.6936936936936937,0.6936936936936937,0.6936936936936937,0.6936936936936937
pca_reconstruction_8,unsupervised_or_autoencoder_proxy,0.6802508852812006,0.9458775107174456,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6216216216216216
iforest_normal_fit,unsupervised_or_autoencoder_proxy,0.5594001304590276,0.979176137613468,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
