model,feature_group,n_features,pr_auc,roc_auc,precision_at_pos_k,recall_at_pos_k,precision_at_prior_rate,recall_at_prior_rate,f2_at_prior_rate
gradient_boosting,all_features,13,0.9918126836779261,0.9963924858119106,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
gradient_boosting,no_gap_features,11,0.9918126836779261,0.9963924858119106,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
gradient_boosting,no_chat_features,9,0.9918126836779261,0.9963924858119106,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
gradient_boosting,no_viewer_features,10,0.9918126836779261,0.9963924858119106,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
gradient_boosting,mismatch_core_only,6,0.9918126836779261,0.9963924858119106,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
gradient_boosting,no_zero_rate,12,0.9600301857962129,0.9970572851744853,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
gradient_boosting,chat_only,4,0.8899966802082323,0.9710787836126957,0.8198198198198198,0.8198198198198198,0.8198198198198198,0.8198198198198198,0.8198198198198198
gradient_boosting,viewer_only,3,0.17502116911299528,0.7832387460710847,0.23423423423423423,0.23423423423423423,0.23423423423423423,0.23423423423423423,0.23423423423423423
logistic_balanced,mismatch_core_only,6,0.9996054809215797,0.9999755588469642,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991,0.990990990990991
logistic_balanced,no_viewer_features,10,0.9981927107191937,0.9998777942348209,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819
logistic_balanced,no_gap_features,11,0.9978853949442186,0.999853353081785,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819
logistic_balanced,no_chat_features,9,0.9977477477477479,0.9998435766205708,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819
logistic_balanced,all_features,13,0.9977477477477477,0.9998435766205707,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819
logistic_balanced,no_zero_rate,12,0.9752044675937109,0.998215795828384,0.9099099099099099,0.9099099099099099,0.9099099099099099,0.9099099099099099,0.9099099099099099
logistic_balanced,chat_only,4,0.9187876725068334,0.9841719092939928,0.8288288288288288,0.8288288288288288,0.8288288288288288,0.8288288288288288,0.8288288288288288
logistic_balanced,viewer_only,3,0.1957437396285675,0.7850987178171118,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.24324324324324326
